Cross Semivariogram     tail:Ag           head:Ag            direction  1 
  39       39.000       .05594    99160         .09578        -.11289
  40       40.000       .05744    98825         .09914        -.11331
  41       41.000       .05893    98490         .10238        -.11372
  42       42.000       .06070    98155         .10558        -.11426
  43       43.000       .06258    97820         .10861        -.11482
  44       44.000       .06500    97485         .11142        -.11552
  45       45.000       .06774    97150         .11412        -.11639
  46       46.000       .07069    96815         .11671        -.11737
  47       47.000       .07374    96480         .11909        -.11859
  48       48.000       .07703    96145         .12119        -.11991
  49       49.000       .08045    95810         .12294        -.12133
  50       50.000       .08415    95475         .12439        -.12279
  51       51.000       .08798    95140         .12565        -.12423
  52       52.000       .09181    94805         .12668        -.12569
  53       53.000       .09522    94470         .12735        -.12730
  54       54.000       .09807    94135         .12782        -.12897
  55       55.000       .10066    93800         .12818        -.13063
  56       56.000       .10276    93465         .12840        -.13232
  57       57.000       .10452    93130         .12846        -.13409
  58       58.000       .10606    92795         .12840        -.13584
  59       59.000       .10740    92460         .12821        -.13759
  60       60.000       .10849    92125         .12790        -.13943
  61       61.000       .10903    91790         .12752        -.14114
  62       62.000       .10931    91455         .12706        -.14275
  63       63.000       .10924    91120         .12651        -.14421
  64       64.000       .10870    90785         .12574        -.14547
  65       65.000       .10792    90450         .12485        -.14662
  66       66.000       .10663    90115         .12378        -.14750
  67       67.000       .10533    89780         .12262        -.14816
  68       68.000       .10360    89445         .12152        -.14880
  69       69.000       .10175    89110         .12037        -.14944
  70       70.000       .09984    88775         .11923        -.14993
  71       71.000       .09813    88440         .11809        -.15039
  72       72.000       .09633    88105         .11681        -.15102
  73       73.000       .09463    87770         .11538        -.15172
  74       74.000       .09314    87435         .11380        -.15244
  75       75.000       .09189    87100         .11216        -.15310
  76       76.000       .09040    86765         .11054        -.15371
  77       77.000       .08866    86430         .10891        -.15430
  78       78.000       .08713    86095         .10734        -.15484
  79       79.000       .08522    85760         .10590        -.15537
  80       80.000       .08306    85425         .10464        -.15575
  81       81.000       .08073    85090         .10338        -.15603
  82       82.000       .07816    84755         .10211        -.15614
  83       83.000       .07537    84420         .10098        -.15609
  84       84.000       .07227    84085         .10003        -.15602
  85       85.000       .06903    83750         .09919        -.15590
  86       86.000       .06542    83415         .09857        -.15584
  87       87.000       .06163    83080         .09807        -.15584
  88       88.000       .05790    82745         .09762        -.15597
  89       89.000       .05447    82410         .09752        -.15600
  90       90.000       .05133    82075         .09769        -.15601
  91       91.000       .04827    81740         .09807        -.15600
  92       92.000       .04544    81405         .09860        -.15600
  93       93.000       .04258    81070         .09921        -.15594
  94       94.000       .03930    80735         .09989        -.15603
  95       95.000       .03602    80400         .10062        -.15615
  96       96.000       .03299    80065         .10117        -.15627
  97       97.000       .02994    79730         .10164        -.15655
  98       98.000       .02702    79395         .10224        -.15675
  99       99.000       .02430    79060         .10274        -.15688
 100      100.000       .02189    78725         .10318        -.15703
Cross Semivariogram     tail:Ag           head:Au            direction  1 
   1        1.000       .00003   111890         .00654         .10992
   2        2.000      -.00004   111555         .00727         .10995
   3        3.000      -.00021   111220         .00804         .10989
   4        4.000      -.00049   110885         .00904         .10986
   5        5.000      -.00050   110550         .01012         .10981
   6        6.000      -.00031   110215         .01124         .10962
   7        7.000       .00000   109880         .01247         .10929
   8        8.000       .00032   109545         .01378         .10878
   9        9.000       .00061   109210         .01529         .10819
  10       10.000       .00081   108875         .01697         .10753
  11       11.000       .00110   108540         .01882         .10682
  12       12.000       .00129   108205         .02078         .10596
  13       13.000       .00152   107870         .02290         .10499
  14       14.000       .00163   107535         .02523         .10388
  15       15.000       .00163   107200         .02778         .10269
  16       16.000       .00113   106865         .03050         .10133
  17       17.000       .00027   106530         .03311         .09975
  18       18.000      -.00083   106195         .03571         .09804
  19       19.000      -.00217   105860         .03828         .09634
  20       20.000      -.00383   105525         .04084         .09468
  21       21.000      -.00587   105190         .04350         .09307
  22       22.000      -.00818   104855         .04611         .09153
  23       23.000      -.01043   104520         .04860         .09010
  24       24.000      -.01299   104185         .05112         .08875
  25       25.000      -.01578   103850         .05360         .08737
  26       26.000      -.01886   103515         .05609         .08599
  27       27.000      -.02253   103180         .05866         .08467
  28       28.000      -.02637   102845         .06130         .08338
  29       29.000      -.03043   102510         .06397         .08210
  30       30.000      -.03445   102175         .06673         .08091
  31       31.000      -.03857   101840         .06965         .07990
  32       32.000      -.04251   101505         .07274         .07897
  33       33.000      -.04640   101170         .07587         .07818
  34       34.000      -.04993   100835         .07906         .07749
  35       35.000      -.05353   100500         .08233         .07684
  36       36.000      -.05679   100165         .08556         .07627
  37       37.000      -.05963    99830         .08882         .07590
  38       38.000      -.06230    99495         .09227         .07569
  39       39.000      -.06483    99160         .09578         .07561
  40       40.000      -.06710    98825         .09914         .07570
  41       41.000      -.06894    98490         .10238         .07594
  42       42.000      -.07036    98155         .10558         .07643
  43       43.000      -.07158    97820         .10861         .07701
  44       44.000      -.07277    97485         .11142         .07759
  45       45.000      -.07345    97150         .11412         .07810
  46       46.000      -.07368    96815         .11671         .07862
